longitude,latitude,elevation,name,station_id,timeZone
-97.67987,30.18304,148.1328,Austin-Bergstrom International Airport,KAUS,America/Chicago
-73.15028,44.46806,100.8888,"Burlington, Burlington International Airport",KBTV,America/New_York
-81.11806,33.94194,71.0184,"Columbia, Columbia Metropolitan Airport",KCAE,America/New_York
-83.77917,39.42833,327.9648,"Wilmington, Airborne Airpark Airport",KILN,America/New_York
-68.81861,44.79722,57.912,"Bangor, Bangor International Airport",KBGR,America/New_York
-88.13667,44.47944,210.9216,"Green Bay, Austin Straubel International Airport",KGRB,America/Chicago
-81.07186,29.17354,7.0104,Daytona Beach International Airport,KDAB,America/New_York
-90.59139,41.61389,228.9048,"Davenport, Davenport Municipal Airport",KDVN,America/Chicago
-85.52278,42.88083,242.0112,"Grand Rapids, Gerald R. Ford International Airport",KGRR,America/Detroit
-83.65444,32.68778,106.9848,"Macon, Middle Georgia Regional Airport",KMCN,America/New_York
-79.92065,39.64985,373.9896,Morgantown Municipal-Hart Field,KMGW,America/New_York
-95.39417,45.86861,434.0352,"Alexandria, Chandler Field",KAXN,America/Chicago
-81.85193,41.40569,235.9152,Cleveland Hopkins International Airport,KCLE,America/New_York
-86.78167,33.17833,178.0032,"Alabaster, Shelby County Airport",KEET,America/Chicago
-82.555,38.365,252.0696,"Huntington, Tri-State Airport",KHTS,America/New_York
-98.06028,32.78167,296.8752,"Mineral Wells, Mineral Wells Airport",KMWL,America/Chicago
-73.12663,41.16421,0.9144,"Bridgeport, Sikorsky Memorial Airport",KBDR,America/New_York
-94.365,35.33361,142.0368,"Fort Smith, Fort Smith Regional Airport",KFSM,America/Chicago
-85.66361,38.22778,166.116,"Louisville, Bowman Field Airport",KLOU,America/New_York
-87.90444,42.955,220.0656,"Milwaukee, General Mitchell International Airport",KMKE,America/Chicago
-75.98139,42.20778,495.9096,"Binghamton, Binghamton Regional Airport",KBGM,America/New_York
-85.20637,40.97251,242.9256,Fort Wayne International Airport,KFWA,America/Indiana/Indianapolis
-82.22083,34.88389,295.9608,"Greer, Greenville-Spartanburg Airport",KGSP,America/New_York
-95.2825,29.6375,14.0208,"Houston, Houston Hobby Airport",KHOU,America/Chicago
-88.24556,30.68833,66.1416,"Mobile, Mobile Regional Airport",KMOB,America/Chicago
-84.52444,33.7775,256.032,"Atlanta, Fulton County Airport-Brown Field",KFTY,America/New_York
-90.0775,32.31972,104.8512,"Jackson, Jackson International Airport",KJAN,America/Chicago
-99.46139,27.54361,155.1432,"Laredo, Laredo International Airport",KLRD,America/Chicago
-93.21272,45.14258,276.1488,Minneapolis / Blaine,KANE,America/Chicago
-76.68404,39.17329,41.148,"Baltimore, Baltimore-Washington International Airport",KBWI,America/New_York
-83.01,42.40917,191.1096,"Detroit, Detroit City Airport",KDET,America/Detroit
-92.83245,47.38039,408.1272,Chisholm-Hibbing Airport,KHIB,America/Chicago
-73.79912,42.74722,86.868,Albany International Airport,KALB,America/New_York
-84.68889,45.01639,403.86,"Gaylord, Otsego County Airport",KGLR,America/Detroit
-93.22333,30.12611,4.8768,"Lake Charles, Lake Charles Regional Airport",KLCH,America/Chicago
-75.22678,39.87327,2.1336,"Philadelphia, Philadelphia International Airport",KPHL,America/New_York
-82.54028,27.96139,7.9248,"Tampa, Tampa International Airport",KTPA,America/New_York
-76.19194,36.90361,7.9248,"Norfolk, Norfolk International Airport",KORF,America/New_York
-93.82417,32.44694,78.0288,"Shreveport, Shreveport Regional Airport",KSHV,America/Chicago
-84.35333,30.39306,24.0792,Tallahassee - Tallahassee International Airport,KTLH,America/New_York
-76.88135,34.89719,7.9248,Cherry Point Marine Corps Air Station,KNKT,America/New_York
-76.10333,43.10917,128.016,"Syracuse, Syracuse Hancock International Airport",KSYR,America/New_York
-71.43247,41.72249,14.9352,"Providence, Theodore Francis Green State Airport",KPVD,America/New_York
-79.97417,37.31694,358.14,"Roanoke, Roanoke Regional Airport",KROA,America/New_York
-70.30444,43.64222,21.9456,"Portland, Portland International Jetport",KPWM,America/New_York
-97.4708,35.2435,360.2736,Norman / Max Westheimer,KOUN,America/Chicago
-90.65583,38.65722,141.1224,"St. Louis, Spirit Of St. Louis Airport",KSUS,America/Chicago
-88.77389,37.05639,124.968,"Paducah, Barkley Regional Airport",KPAH,America/Chicago
-94.05165,45.54415,310.896,St. Cloud Regional Airport,KSTC,America/Chicago
-95.88639,36.1975,206.0448,"Tulsa, Tulsa International Airport",KTUL,America/Chicago
-77.8401,40.85344,362.1024,State College - University Park Airport,KUNV,America/New_York
-96.38444,42.4025,334.9752,"Sioux City, Sioux Gateway Airport",KSUX,America/Chicago
-80.09919,26.6851,3.048,West Palm Beach - Palm Beach International Airport,KPBI,America/New_York
144.93333,13.58333,187.1472,"Andersen, Mariana Is, Andersen Air Force Base",PGUA,Pacific/Guam
-112.37611,48.60833,1175.004,"Cut Bank, Cut Bank Municipal Airport",KCTB,America/Denver
-103.66738,39.27334,1633.1184,Limon Municipal Airport,KLIC,America/Denver
-104.50778,33.30806,1118.0063,"Roswell, Roswell Industrial Air Center Airport",KROW,America/Denver
-102.68745,38.07178,1122.8832,Lamar Municipal Airport,KLAA,America/Denver
-107.52394,40.49297,1883.9688,Craig-Moffat Airport,KCAG,America/Denver
-111.9892,46.60445,1180.7952,Helena Regional Airport,KHLN,America/Denver
-100.72444,37.9275,880.872,Garden City Regional Airport,KGCK,America/Chicago
-103.31667,34.38333,1309.116,Cannon Air Force Base / Clovis,KCVS,America/Denver
-123.92,46.97111,3.9624,"Hoquiam, Bowerman Airport",KHQM,America/Los_Angeles
-106.26205,35.87891,2072.9448,Los Alamos Airport,KLAM,America/Denver
-116.81667,47.76667,707.136,Coeur d'Alene Airport - Pappy Boyington Field,KCOE,America/Los_Angeles
-103.21459,40.17428,1427.0736,Akron-Washington County Airport,KAKO,America/Denver
-104.63333,40.43333,1431.9504,"Greeley, Greeley-Weld County Airport",KGXY,America/Denver
-107.76023,37.14312,2019.9095,Durango-La Plata County Airport,KDRO,America/Denver
-110.72083,35.02806,1505.1024,"Winslow, Winslow Municipal Airport",KINW,America/Phoenix
-105.88639,46.42806,801.0144,"Miles City, Frank Wiley Field Airport",KMLS,America/Denver
-106.87051,39.22992,2338.7305,Aspen-Pitkin County Airport,KASE,America/Denver
-104.84841,39.55991,1788.8712,Denver - Centennial Airport,KAPA,America/Denver
-117.69,35.68639,695.8584,"China Lake, Naval Air Facility",KNID,America/Los_Angeles
-104.81667,38.96667,2003.1456,Air Force Academy,KAFF,America/Denver
-111.16083,45.78806,1363.98,"Bozeman, Gallatin Field",KBZN,America/Denver
-113.09695,37.70675,1701.0887,Cedar City Municipal Airport,KCDC,America/Denver
-114.03583,40.72056,1291.1328,Wendover / Air Force Auxillary Field,KENV,America/Denver
-106.1,32.85,1247.8512,Holloman Air Force Base,KHMN,America/Denver
-112.15538,35.94582,2011.0704,Grand Canyon National Park Airport,KGCN,America/Phoenix
-123.8825,46.15694,3.048,"Astoria, Astoria Regional Airport",KAST,America/Los_Angeles
-96.67778,39.13528,320.9544,"Manhattan, Manhattan Municipal Airport",KMHK,America/Chicago
-100.96667,37.05,879.0432,"Liberal, Liberal Municipal Airport",KLBL,America/Chicago
-99.26667,38.85,608.9904,"Hays, Hays Regional Airport",KHYS,America/Chicago
-95.9,41.11667,319.1256,Omaha / Offutt Air Force Base,KOFF,America/Chicago
-82.5375,35.43194,659.892,"Asheville, Asheville Regional Airport",KAVL,America/New_York
-86.745,33.56556,195.9864,"Birmingham, Birmingham International Airport",KBHM,America/Chicago
-96.36167,30.58222,96.9264,"College Station, Easterwood Field",KCLL,America/Chicago
-79.85278,38.88528,605.028,"Elkins, Elkins-Randolph County-Jennings Randolph Field",KEKN,America/New_York
-80.22472,36.13333,295.0464,"Winston Salem, Smith Reynolds Airport",KINT,America/New_York
-83.56444,45.07167,210.0072,"Alpena, Alpena County Regional Airport",KAPN,America/Detroit
-84.57889,42.78028,262.128,"Lansing, Capital City Airport",KLAN,America/Detroit
-72.56611,44.20472,355.092,"Barre / Montpelier, Knapp State Airport",KMPV,America/New_York
-92.40111,42.55444,266.0904,"Waterloo, Waterloo Municipal Airport",KALO,America/Chicago
-97.01944,34.30306,231.9528,"Ardmore, Ardmore Municipal Airport",KADM,America/Chicago
-91.71056,41.88444,263.0424,"Cedar Rapids, The Eastern Iowa Airport",KCID,America/Chicago
-85.2,35.03333,206.9592,"Chattanooga, Lovell Field",KCHA,America/New_York
-94.71389,32.39056,110.9472,Longview - East Texas Regional Airport,KGGG,America/Chicago
-99.68167,32.41028,544.9824,"Abilene, Abilene Regional Airport",KABI,America/Chicago
-83.32806,33.95083,245.9736,"Athens, Athens Airport",KAHN,America/New_York
-82.87639,39.995,248.1072,Columbus - John Glenn Columbus International Airport,KCMH,America/New_York
-88.87192,39.8308,204.216,Decatur Airport,KDEC,America/Chicago
